sha-pi,O0,O1,O2,O3
Average CPI,2.021,2.578,2.589,2.621
Instructions,5739322,3423070,3491534,3342168
Runtime(measured),0.10959999999999999,0.0822,0.08680000000000002,0.08029999999999998
Runtime(calculated),1.6573181428571428e-05,1.2604895714285715e-05,1.2911737142857143e-05,1.2513727142857144e-05
Function with fastest measured exec. time,,,,
