jpeg-lab,O0,O1,O2,O3
Average CPI,0.7246376811594204,0.7352941176470588,0.7462686567164178,0.8403361344537815
Instructions,4886159,2941714,2902746,2438334
Runtime(measured),0.0030000000000000005,0.006,0.0043,0.0053
Runtime(calculated),0.0015456981707317073,0.0009899627928341755,0.0009478807339449541,0.0008951631762652705
Function with fastest measured exec. time,,,,
