jpeg-pi,O0,O1,O2,O3
Average CPI,1.816,2.055,2.048,2.444
Instructions,18744012,22768700,12993626,10060694
Runtime(measured),0.5498000000000001,0.40679999999999994,0.37239999999999995,0.3013
Runtime(calculated),4.861532285714286e-05,6.685366285714285e-05,3.800750857142857e-05,3.5123272857142854e-05
Function with fastest measured exec. time,,,,
