aes-pi,O0,O1,O2,O3
Average CPI,3.595,3.77,3.769,3.91
Instructions,3006180,2998022,2863816,2991684
Runtime(measured),0.0869,0.09809999999999999,0.07909999999999999,0.07859999999999999
Runtime(calculated),1.5437495714285716e-05,1.6146954285714287e-05,1.5420075714285713e-05,1.6710094285714284e-05
Function with fastest measured exec. time,,,,
