mips-lab,O0,O1,O2,O3
Average CPI,1.8181818181818181,1.8181818181818181,1.7543859649122808,1.8181818181818181
Instructions,412839,413248,411227,412662
Runtime(measured),0.0034000000000000002,0.0056,0.0020000000000000005,0.005
Runtime(calculated),0.0003289574187884109,0.000361664913957935,0.0003151699604743083,0.0003797997972630512
Function with fastest measured exec. time,,,,
