mips-pi,O0,O1,O2,O3
Average CPI,3.533,3.608,3.552,3.719
Instructions,2306690,2258292,2235996,2365992
Runtime(measured),0.0728,0.08309999999999998,0.06210000000000001,0.0698
Runtime(calculated),1.1643138571428571e-05,1.1640595714285715e-05,1.1346557142857143e-05,1.25696e-05
Function with fastest measured exec. time,,,,
