dfmul-pi,O0,O1,O2,O3
Average CPI,3.682,3.665,3.754,3.626
Instructions,3848648,3748184,3869184,3719028
Runtime(measured),0.124,0.13720000000000004,0.11680000000000001,0.13449999999999998
Runtime(calculated),2.0242774285714287e-05,1.9624467142857143e-05,2.0748861428571428e-05,1.9263925714285715e-05
Function with fastest measured exec. time,,,,
