dfmul-lab,O0,O1,O2,O3
Average CPI,1.4925373134328357,1.4705882352941175,1.4705882352941175,1.4084507042253522
Instructions,625993,633416,621905,617514
Runtime(measured),0.0034000000000000002,0.0055,0.0056,0.0056
Runtime(calculated),0.00040880937773882557,0.00040707887817703766,0.0004015105170902717,0.00038375493204734765
Function with fastest measured exec. time,,,,
