blowfish-pi,O0,O1,O2,O3
Average CPI,2.194,5.939,2.579,2.569
Instructions,4366648,6315108,3468916,3431384
Runtime(measured),0.4044,0.09479999999999998,0.07570000000000002,0.079
Runtime(calculated),1.3689408571428572e-05,5.357469428571429e-05,1.2781512857142857e-05,1.2594324285714286e-05
Function with fastest measured exec. time,,,,
