blowfish-lab,O0,O1,O2,O3
Average CPI,0.8474576271186441,1.0526315789473684,1.1235955056179776,1.1235955056179776
Instructions,1421892,916382,902083,900173
Runtime(measured),0.0035000000000000005,0.0052,0.005399999999999999,0.005699999999999999
Runtime(calculated),0.0005640079328044798,0.0004208761487964989,0.0004434560559685177,0.0004411010498687664
Function with fastest measured exec. time,,,,
