dfadd-pi,O0,O1,O2,O3
Average CPI,3.438,3.393,3.44,3.417
Instructions,5318908,5141270,5203926,5139546
Runtime(measured),0.2051,0.28420000000000006,0.19999999999999998,0.198
Runtime(calculated),2.6120434285714287e-05,2.4923561428571427e-05,2.5571125714285715e-05,2.5090024285714287e-05
Function with fastest measured exec. time,,,,
