adpcm-pi,O0,O1,O2,O3
Average CPI,3.083,3.277,3.486,3.581
Instructions,2924522,2540038,2480426,2513706
Runtime(measured),0.0722,0.06670000000000001,0.07189999999999999,0.0718
Runtime(calculated),1.2879185714285714e-05,1.1889512857142858e-05,1.2351867142857142e-05,1.2858335714285714e-05
Function with fastest measured exec. time,,,,
