dfsin-pi,O0,O1,O2,O3
Average CPI,3.135,3.264,3.474,3.405
Instructions,8037766,5783864,5878866,5659064
Runtime(measured),0.3189,0.23859999999999998,0.21789999999999998,0.2024
Runtime(calculated),3.5995925714285714e-05,2.696703142857143e-05,2.9178151428571428e-05,2.7523477142857143e-05
Function with fastest measured exec. time,,,,
