dfdiv-pi,O0,O1,O2,O3
Average CPI,3.687,3.745,3.619,3.582
Instructions,4057570,4040362,3952460,3852100
Runtime(measured),0.13540000000000002,0.147,0.11549999999999998,0.1355
Runtime(calculated),2.137376142857143e-05,2.161618e-05,2.0434448571428572e-05,1.9710674285714286e-05
Function with fastest measured exec. time,,,,
