gsm-pi,O0,O1,O2,O3
Average CPI,3.351,3.525,3.578,3.556
Instructions,2403804,2338092,2294574,2310578
Runtime(measured),0.072,0.0689,0.06640000000000001,0.06960000000000001
Runtime(calculated),1.1508761428571428e-05,1.1773971428571429e-05,1.1729474285714285e-05,1.1737007142857143e-05
Function with fastest measured exec. time,,,,
